trade_date,expected_count,daily_row_count,daily_unique_security_count,matched_count,raw_only_count,daily_only_count,coverage_ratio
2015-01-05,2595,2594,2594,2593,2,1,0.9992292870905588
2015-01-06,2595,2594,2594,2593,2,1,0.9992292870905588
2015-01-07,2595,2594,2594,2593,2,1,0.9992292870905588
2015-01-08,2595,2594,2594,2593,2,1,0.9992292870905588
2015-01-09,2595,2594,2594,2593,2,1,0.9992292870905588
2015-01-12,2595,2594,2594,2593,2,1,0.9992292870905588
2015-01-13,2595,2594,2594,2593,2,1,0.9992292870905588
2015-01-14,2595,2594,2594,2593,2,1,0.9992292870905588
2015-01-15,2595,2594,2594,2593,2,1,0.9992292870905588
2015-01-16,2595,2594,2594,2593,2,1,0.9992292870905588
2015-01-19,2595,2594,2594,2593,2,1,0.9992292870905588
2015-01-20,2596,2595,2595,2594,2,1,0.9992295839753467
2015-01-21,2600,2599,2599,2598,2,1,0.9992307692307693
2015-01-22,2606,2605,2605,2604,2,1,0.9992325402916347
2015-01-23,2609,2608,2608,2607,2,1,0.9992334227673438
2015-01-26,2611,2610,2610,2609,2,1,0.9992340099578706
2015-01-27,2614,2613,2613,2612,2,1,0.9992348890589136
2015-01-28,2616,2615,2615,2614,2,1,0.9992354740061162
2015-01-29,2617,2616,2616,2615,2,1,0.9992357661444402
2015-01-30,2617,2616,2616,2615,2,1,0.9992357661444402
2015-02-02,2617,2616,2616,2615,2,1,0.9992357661444402
2015-02-03,2617,2616,2616,2615,2,1,0.9992357661444402
2015-02-04,2617,2616,2616,2615,2,1,0.9992357661444402
2015-02-05,2617,2616,2616,2615,2,1,0.9992357661444402
2015-02-06,2617,2616,2616,2615,2,1,0.9992357661444402
2015-02-09,2617,2616,2616,2615,2,1,0.9992357661444402
2015-02-10,2617,2616,2616,2615,2,1,0.9992357661444402
2015-02-11,2617,2616,2616,2615,2,1,0.9992357661444402
2015-02-12,2617,2616,2616,2615,2,1,0.9992357661444402
2015-02-13,2617,2616,2616,2615,2,1,0.9992357661444402
2015-02-16,2620,2619,2619,2618,2,1,0.999236641221374
2015-02-17,2634,2633,2633,2632,2,1,0.9992406985573272
2015-02-25,2635,2634,2634,2633,2,1,0.9992409867172676
2015-02-26,2637,2636,2636,2635,2,1,0.9992415623814941
2015-02-27,2638,2637,2637,2636,2,1,0.9992418498862775
2015-03-02,2640,2639,2639,2638,2,1,0.9992424242424243
2015-03-03,2641,2640,2640,2639,2,1,0.9992427110942824
2015-03-04,2641,2640,2640,2639,2,1,0.9992427110942824
2015-03-05,2641,2640,2640,2639,2,1,0.9992427110942824
2015-03-06,2641,2640,2640,2639,2,1,0.9992427110942824
2015-03-09,2641,2640,2640,2639,2,1,0.9992427110942824
2015-03-10,2641,2640,2640,2639,2,1,0.9992427110942824
2015-03-11,2641,2640,2640,2639,2,1,0.9992427110942824
2015-03-12,2641,2640,2640,2639,2,1,0.9992427110942824
2015-03-13,2641,2640,2640,2639,2,1,0.9992427110942824
2015-03-16,2641,2640,2640,2639,2,1,0.9992427110942824
2015-03-17,2641,2640,2640,2639,2,1,0.9992427110942824
2015-03-18,2642,2641,2641,2640,2,1,0.9992429977289932
2015-03-19,2650,2649,2649,2648,2,1,0.999245283018868
2015-03-20,2655,2654,2654,2653,2,1,0.9992467043314501
2015-03-23,2656,2655,2655,2654,2,1,0.9992469879518072
2015-03-24,2660,2659,2659,2658,2,1,0.9992481203007518
2015-03-25,2662,2661,2661,2660,2,1,0.9992486851990984
2015-03-26,2665,2664,2664,2663,2,1,0.999249530956848
2015-03-27,2665,2664,2664,2663,2,1,0.999249530956848
2015-03-30,2665,2664,2664,2663,2,1,0.999249530956848
2015-03-31,2665,2664,2664,2663,2,1,0.999249530956848
2015-04-01,2665,2664,2664,2663,2,1,0.999249530956848
2015-04-02,2665,2664,2664,2663,2,1,0.999249530956848
2015-04-03,2665,2664,2664,2663,2,1,0.999249530956848
2015-04-07,2665,2664,2664,2663,2,1,0.999249530956848
2015-04-08,2665,2664,2664,2663,2,1,0.999249530956848
2015-04-09,2665,2664,2664,2663,2,1,0.999249530956848
2015-04-10,2665,2664,2664,2663,2,1,0.999249530956848
2015-04-13,2665,2664,2664,2663,2,1,0.999249530956848
2015-04-14,2665,2664,2664,2663,2,1,0.999249530956848
2015-04-15,2665,2664,2664,2663,2,1,0.999249530956848
2015-04-16,2665,2664,2664,2663,2,1,0.999249530956848
2015-04-17,2665,2664,2664,2663,2,1,0.999249530956848
2015-04-20,2665,2664,2664,2663,2,1,0.999249530956848
2015-04-21,2665,2664,2664,2663,2,1,0.999249530956848
2015-04-22,2675,2674,2674,2673,2,1,0.9992523364485981
2015-04-23,2683,2682,2682,2681,2,1,0.9992545657845695
2015-04-24,2693,2692,2692,2691,2,1,0.9992573338284441
2015-04-27,2694,2693,2693,2692,2,1,0.9992576095025983
2015-04-28,2695,2694,2694,2693,2,1,0.9992578849721707
2015-04-29,2695,2694,2694,2693,2,1,0.9992578849721707
2015-04-30,2695,2694,2694,2693,2,1,0.9992578849721707
2015-05-04,2695,2694,2694,2693,2,1,0.9992578849721707
2015-05-05,2695,2694,2694,2693,2,1,0.9992578849721707
2015-05-06,2695,2694,2694,2693,2,1,0.9992578849721707
2015-05-07,2695,2694,2694,2693,2,1,0.9992578849721707
2015-05-08,2695,2694,2694,2693,2,1,0.9992578849721707
2015-05-11,2695,2694,2694,2693,2,1,0.9992578849721707
2015-05-12,2695,2694,2694,2693,2,1,0.9992578849721707
2015-05-13,2698,2697,2697,2696,2,1,0.9992587101556709
2015-05-14,2701,2700,2700,2699,2,1,0.9992595335061089
2015-05-15,2712,2711,2711,2710,2,1,0.9992625368731564
2015-05-18,2717,2716,2716,2715,2,1,0.9992638940007361
2015-05-19,2719,2718,2718,2717,2,1,0.9992644354542111
2015-05-20,2717,2716,2716,2715,2,1,0.9992638940007361
2015-05-21,2716,2715,2715,2714,2,1,0.9992636229749632
2015-05-22,2716,2715,2715,2714,2,1,0.9992636229749632
2015-05-25,2716,2715,2715,2714,2,1,0.9992636229749632
2015-05-26,2716,2715,2715,2714,2,1,0.9992636229749632
2015-05-27,2725,2724,2724,2723,2,1,0.9992660550458715
2015-05-28,2733,2732,2732,2731,2,1,0.9992682034394438
2015-05-29,2736,2735,2735,2734,2,1,0.9992690058479532
2015-06-01,2736,2735,2735,2734,2,1,0.9992690058479532
2015-06-02,2736,2735,2735,2734,2,1,0.9992690058479532
2015-06-03,2736,2735,2735,2734,2,1,0.9992690058479532
2015-06-04,2736,2735,2735,2734,2,1,0.9992690058479532
2015-06-05,2736,2735,2735,2734,2,1,0.9992690058479532
2015-06-08,2736,2735,2735,2734,2,1,0.9992690058479532
2015-06-09,2736,2735,2735,2734,2,1,0.9992690058479532
2015-06-10,2744,2743,2743,2742,2,1,0.999271137026239
2015-06-11,2753,2752,2752,2751,2,1,0.9992735197965855
2015-06-12,2759,2758,2758,2757,2,1,0.9992750996737948
2015-06-15,2759,2758,2758,2757,2,1,0.9992750996737948
2015-06-16,2759,2758,2758,2757,2,1,0.9992750996737948
2015-06-17,2759,2758,2758,2757,2,1,0.9992750996737948
2015-06-18,2759,2758,2758,2757,2,1,0.9992750996737948
2015-06-19,2759,2758,2758,2757,2,1,0.9992750996737948
2015-06-23,2759,2758,2758,2757,2,1,0.9992750996737948
2015-06-24,2759,2758,2758,2757,2,1,0.9992750996737948
2015-06-25,2759,2758,2758,2757,2,1,0.9992750996737948
2015-06-26,2764,2763,2763,2762,2,1,0.9992764109985528
2015-06-29,2770,2769,2769,2768,2,1,0.9992779783393502
2015-06-30,2779,2778,2778,2777,2,1,0.9992803166606693
2015-07-01,2782,2781,2781,2780,2,1,0.9992810927390366
2015-07-02,2784,2783,2783,2782,2,1,0.9992816091954023
2015-07-03,2784,2783,2783,2782,2,1,0.9992816091954023
2015-07-06,2784,2783,2783,2782,2,1,0.9992816091954023
2015-07-07,2784,2783,2783,2782,2,1,0.9992816091954023
2015-07-08,2784,2783,2783,2782,2,1,0.9992816091954023
2015-07-09,2784,2783,2783,2782,2,1,0.9992816091954023
2015-07-10,2784,2783,2783,2782,2,1,0.9992816091954023
2015-07-13,2783,2782,2782,2781,2,1,0.9992813510600072
2015-07-14,2783,2782,2782,2781,2,1,0.9992813510600072
2015-07-15,2783,2782,2782,2781,2,1,0.9992813510600072
2015-07-16,2783,2782,2782,2781,2,1,0.9992813510600072
2015-07-17,2783,2782,2782,2781,2,1,0.9992813510600072
2015-07-20,2783,2782,2782,2781,2,1,0.9992813510600072
2015-07-21,2783,2782,2782,2781,2,1,0.9992813510600072
2015-07-22,2783,2782,2782,2781,2,1,0.9992813510600072
2015-07-23,2783,2782,2782,2781,2,1,0.9992813510600072
2015-07-24,2783,2782,2782,2781,2,1,0.9992813510600072
2015-07-27,2783,2782,2782,2781,2,1,0.9992813510600072
2015-07-28,2783,2782,2782,2781,2,1,0.9992813510600072
2015-07-29,2783,2782,2782,2781,2,1,0.9992813510600072
2015-07-30,2783,2782,2782,2781,2,1,0.9992813510600072
2015-07-31,2783,2782,2782,2781,2,1,0.9992813510600072
2015-08-03,2783,2782,2782,2781,2,1,0.9992813510600072
2015-08-04,2783,2782,2782,2781,2,1,0.9992813510600072
2015-08-05,2783,2782,2782,2781,2,1,0.9992813510600072
2015-08-06,2783,2782,2782,2781,2,1,0.9992813510600072
2015-08-07,2783,2782,2782,2781,2,1,0.9992813510600072
2015-08-10,2783,2782,2782,2781,2,1,0.9992813510600072
2015-08-11,2783,2782,2782,2781,2,1,0.9992813510600072
2015-08-12,2783,2782,2782,2781,2,1,0.9992813510600072
2015-08-13,2783,2782,2782,2781,2,1,0.9992813510600072
2015-08-14,2783,2782,2782,2781,2,1,0.9992813510600072
2015-08-17,2783,2782,2782,2781,2,1,0.9992813510600072
2015-08-18,2783,2782,2782,2781,2,1,0.9992813510600072
2015-08-19,2783,2782,2782,2781,2,1,0.9992813510600072
2015-08-20,2783,2782,2782,2781,2,1,0.9992813510600072
2015-08-21,2783,2782,2782,2781,2,1,0.9992813510600072
2015-08-24,2783,2782,2782,2781,2,1,0.9992813510600072
2015-08-25,2783,2782,2782,2781,2,1,0.9992813510600072
2015-08-26,2783,2782,2782,2781,2,1,0.9992813510600072
2015-08-27,2783,2782,2782,2781,2,1,0.9992813510600072
2015-08-28,2783,2782,2782,2781,2,1,0.9992813510600072
2015-08-31,2783,2782,2782,2781,2,1,0.9992813510600072
2015-09-01,2783,2782,2782,2781,2,1,0.9992813510600072
2015-09-02,2783,2782,2782,2781,2,1,0.9992813510600072
2015-09-07,2783,2782,2782,2781,2,1,0.9992813510600072
2015-09-08,2783,2782,2782,2781,2,1,0.9992813510600072
2015-09-09,2783,2782,2782,2781,2,1,0.9992813510600072
2015-09-10,2783,2782,2782,2781,2,1,0.9992813510600072
2015-09-11,2783,2782,2782,2781,2,1,0.9992813510600072
2015-09-14,2783,2782,2782,2781,2,1,0.9992813510600072
2015-09-15,2783,2782,2782,2781,2,1,0.9992813510600072
2015-09-16,2783,2782,2782,2781,2,1,0.9992813510600072
2015-09-17,2783,2782,2782,2781,2,1,0.9992813510600072
2015-09-18,2783,2782,2782,2781,2,1,0.9992813510600072
2015-09-21,2783,2782,2782,2781,2,1,0.9992813510600072
2015-09-22,2783,2782,2782,2781,2,1,0.9992813510600072
2015-09-23,2783,2782,2782,2781,2,1,0.9992813510600072
2015-09-24,2783,2782,2782,2781,2,1,0.9992813510600072
2015-09-25,2783,2782,2782,2781,2,1,0.9992813510600072
2015-09-28,2783,2782,2782,2781,2,1,0.9992813510600072
2015-09-29,2783,2782,2782,2781,2,1,0.9992813510600072
2015-09-30,2783,2782,2782,2781,2,1,0.9992813510600072
2015-10-08,2783,2782,2782,2781,2,1,0.9992813510600072
2015-10-09,2783,2782,2782,2781,2,1,0.9992813510600072
2015-10-12,2783,2782,2782,2781,2,1,0.9992813510600072
2015-10-13,2783,2782,2782,2781,2,1,0.9992813510600072
2015-10-14,2783,2782,2782,2781,2,1,0.9992813510600072
2015-10-15,2783,2782,2782,2781,2,1,0.9992813510600072
2015-10-16,2783,2782,2782,2781,2,1,0.9992813510600072
2015-10-19,2783,2782,2782,2781,2,1,0.9992813510600072
2015-10-20,2783,2782,2782,2781,2,1,0.9992813510600072
2015-10-21,2783,2782,2782,2781,2,1,0.9992813510600072
2015-10-22,2783,2782,2782,2781,2,1,0.9992813510600072
2015-10-23,2783,2782,2782,2781,2,1,0.9992813510600072
2015-10-26,2783,2782,2782,2781,2,1,0.9992813510600072
2015-10-27,2783,2782,2782,2781,2,1,0.9992813510600072
2015-10-28,2783,2782,2782,2781,2,1,0.9992813510600072
2015-10-29,2783,2782,2782,2781,2,1,0.9992813510600072
2015-10-30,2783,2782,2782,2781,2,1,0.9992813510600072
2015-11-02,2783,2782,2782,2781,2,1,0.9992813510600072
2015-11-03,2783,2782,2782,2781,2,1,0.9992813510600072
2015-11-04,2783,2782,2782,2781,2,1,0.9992813510600072
2015-11-05,2783,2782,2782,2781,2,1,0.9992813510600072
2015-11-06,2783,2782,2782,2781,2,1,0.9992813510600072
2015-11-09,2783,2782,2782,2781,2,1,0.9992813510600072
2015-11-10,2783,2782,2782,2781,2,1,0.9992813510600072
2015-11-11,2783,2782,2782,2781,2,1,0.9992813510600072
2015-11-12,2783,2782,2782,2781,2,1,0.9992813510600072
2015-11-13,2783,2782,2782,2781,2,1,0.9992813510600072
2015-11-16,2783,2782,2782,2781,2,1,0.9992813510600072
2015-11-17,2783,2782,2782,2781,2,1,0.9992813510600072
2015-11-18,2783,2782,2782,2781,2,1,0.9992813510600072
2015-11-19,2783,2782,2782,2781,2,1,0.9992813510600072
2015-11-20,2783,2782,2782,2781,2,1,0.9992813510600072
2015-11-23,2783,2782,2782,2781,2,1,0.9992813510600072
2015-11-24,2783,2782,2782,2781,2,1,0.9992813510600072
2015-11-25,2783,2782,2782,2781,2,1,0.9992813510600072
2015-11-26,2783,2782,2782,2781,2,1,0.9992813510600072
2015-11-27,2783,2782,2782,2781,2,1,0.9992813510600072
2015-11-30,2783,2782,2782,2781,2,1,0.9992813510600072
2015-12-01,2783,2782,2782,2781,2,1,0.9992813510600072
2015-12-02,2783,2782,2782,2781,2,1,0.9992813510600072
2015-12-03,2783,2782,2782,2781,2,1,0.9992813510600072
2015-12-04,2784,2783,2783,2782,2,1,0.9992816091954023
2015-12-07,2784,2783,2783,2782,2,1,0.9992816091954023
2015-12-08,2784,2783,2783,2782,2,1,0.9992816091954023
2015-12-09,2790,2789,2789,2788,2,1,0.9992831541218637
2015-12-10,2794,2793,2793,2792,2,1,0.9992841803865425
2015-12-11,2794,2793,2793,2792,2,1,0.9992841803865425
2015-12-14,2794,2793,2793,2792,2,1,0.9992841803865425
2015-12-15,2794,2793,2793,2792,2,1,0.9992841803865425
2015-12-16,2794,2793,2793,2792,2,1,0.9992841803865425
2015-12-17,2794,2793,2793,2792,2,1,0.9992841803865425
2015-12-18,2794,2793,2793,2792,2,1,0.9992841803865425
2015-12-21,2794,2793,2793,2792,2,1,0.9992841803865425
2015-12-22,2800,2799,2799,2798,2,1,0.9992857142857143
2015-12-23,2803,2802,2802,2801,2,1,0.9992864787727435
2015-12-24,2804,2803,2803,2802,2,1,0.9992867332382311
2015-12-25,2804,2803,2803,2802,2,1,0.9992867332382311
2015-12-28,2804,2803,2803,2802,2,1,0.9992867332382311
2015-12-29,2804,2803,2803,2802,2,1,0.9992867332382311
2015-12-30,2804,2803,2803,2802,2,1,0.9992867332382311
2015-12-31,2811,2810,2810,2809,2,1,0.9992885094272501
2016-01-04,2811,2810,2810,2809,2,1,0.9992885094272501
2016-01-05,2811,2810,2810,2809,2,1,0.9992885094272501
2016-01-06,2812,2811,2811,2810,2,1,0.9992887624466572
2016-01-07,2812,2811,2811,2810,2,1,0.9992887624466572
2016-01-08,2812,2811,2811,2810,2,1,0.9992887624466572
2016-01-11,2812,2811,2811,2810,2,1,0.9992887624466572
2016-01-12,2812,2811,2811,2810,2,1,0.9992887624466572
2016-01-13,2812,2811,2811,2810,2,1,0.9992887624466572
2016-01-14,2812,2811,2811,2810,2,1,0.9992887624466572
2016-01-15,2812,2811,2811,2810,2,1,0.9992887624466572
2016-01-18,2812,2811,2811,2810,2,1,0.9992887624466572
2016-01-19,2812,2811,2811,2810,2,1,0.9992887624466572
